MSE: 0.15062279344943533, PSNR: 57.78645778743887
MSE: 0.058113936273784764, PSNR: 44.419077816596825
MSE: 0.162444029817445, PSNR: 47.64960908106499
MSE: 0.0993315488026661, PSNR: 42.017639469061656
MSE: 0.12386360264225468, PSNR: 39.10725518760356
MSE: 0.23369897159527778, PSNR: 47.55269880533065
MSE: 0.22211606663456784, PSNR: 54.908104593649576
MSE: 0.14100039800876457, PSNR: 45.08775235190661
MSE: 0.1200578004196903, PSNR: 44.602928091330256
MSE: 0.08188443486831577, PSNR: 36.474121228855154
MSE: 0.13783782379961484, PSNR: 44.48731492037811
MSE: 0.1620781268292319, PSNR: 43.96307159430907
MSE: 0.16256584392363432, PSNR: 44.06567337817158
MSE: 0.11594702157616751, PSNR: 46.70051682922193
MSE: 0.11151157125258146, PSNR: 40.53322220125703
MSE: 0.18363195649895542, PSNR: 47.75141090531733
MSE: 0.18753221685739205, PSNR: 44.562065931045616
MSE: 0.06382511813896827, PSNR: 39.54430326676321
MSE: 0.07196805572318407, PSNR: 41.411014224428
MSE: 0.1572694704358197, PSNR: 49.65980364872024
MSE: 0.2200226445604353, PSNR: 61.612294297600684
MSE: 0.13758909805013614, PSNR: 49.15860462351428
MSE: 0.023559488428678863, PSNR: 97.38879753760216
MSE: 0.11169860492701338, PSNR: 34.609464725371105
MSE: 0.15272670454610118, PSNR: 49.15702890668392
MSE: 0.23157384530250366, PSNR: 46.43901408595214
MSE: 0.1225443544082054, PSNR: 56.443115893901854
MSE: 0.10486700873370848, PSNR: 43.05498616498373
MSE: 0.16376143999997964, PSNR: 44.064947700912576
MSE: 0.10590216108230029, PSNR: 39.24338603462751
MSE: 0.09422170099920055, PSNR: 39.605113480799176
MSE: 0.10525243582563822, PSNR: 46.8108836981303
MSE: 0.07640091524745428, PSNR: 40.24545850214854
MSE: 0.08803225324301607, PSNR: 45.14557367857073
MSE: 0.14052524292202384, PSNR: 62.360598544876105
MSE: 0.0859213786332871, PSNR: 54.49023212368565
MSE: 0.08240445198065678, PSNR: 46.08552474146101
MSE: 0.07876381712464582, PSNR: 48.255783854244534
MSE: 0.03660343264979816, PSNR: 47.93040285861635
MSE: 0.049844924544823484, PSNR: 51.28507721740658
MSE: 0.049073902636637114, PSNR: 41.81593180802849
MSE: 0.03994200569908284, PSNR: 41.905152700013595
MSE: 0.12543401362748305, PSNR: 37.850471237182475
MSE: 0.08466380648746048, PSNR: 46.5967633928249
MSE: 0.08911583911302612, PSNR: 40.586007512965324
MSE: 0.07195675046086113, PSNR: 41.60701224026627
MSE: 0.03937762273620792, PSNR: 32.91634392817399
MSE: 0.0653219208146269, PSNR: 43.93800989790204
MSE: 0.1295553674318583, PSNR: 56.497949990916524
MSE: 0.09684259541655726, PSNR: 54.19284892088583
MSE: 0.11675446231751407, PSNR: 42.797437441889876
MSE: 0.06050673346344906, PSNR: 43.762543868465364
MSE: 0.11444846307863489, PSNR: 51.37606152116409
MSE: 0.08415734052668235, PSNR: 44.291413428917025
MSE: 0.07409574545784083, PSNR: 45.87628458012436
MSE: 0.03432250169856571, PSNR: 50.61097021409662
MSE: 0.12267946508990063, PSNR: 47.01036440121506
MSE: 0.10090458691801824, PSNR: 44.650443944669135
MSE: 0.048337116823391056, PSNR: 47.05370393647554
MSE: 0.06748015379945362, PSNR: 72.49536294071548
MSE: 0.08367352874422179, PSNR: 43.40671405762429
MSE: 0.10183994685177777, PSNR: 50.335981399810386
MSE: 0.11045311509551492, PSNR: 43.68274936624387
MSE: 0.09495532807601133, PSNR: 39.883394527807724
MSE: 0.05019229123876459, PSNR: 49.478559973505114
MSE: 0.11778489044300501, PSNR: 40.02948281738912
MSE: 0.02478143091743324, PSNR: 47.14270705265824
MSE: 0.06559185790107558, PSNR: 47.100338040757094
MSE: 0.06593678473189778, PSNR: 39.13902146548406
MSE: 0.09361401317695356, PSNR: 43.651020366447895
MSE: 0.08042678879961383, PSNR: 46.022624703158826
MSE: 0.05863190703085185, PSNR: 38.71125501936389
MSE: 0.10770771117039984, PSNR: 45.71159832921808
MSE: 0.07651784866098615, PSNR: 39.4494080767818
MSE: 0.07057713620476216, PSNR: 44.26360708779953
MSE: 0.07878019150113949, PSNR: 51.85808863762194
MSE: 0.1262445390389938, PSNR: 50.457170548963646
MSE: 0.14306720463125863, PSNR: 45.94117044964102
MSE: 0.1916001137889463, PSNR: 51.906666654361715
MSE: 0.17486197801713912, PSNR: 51.41219703456147
MSE: 0.15877161741539603, PSNR: 52.058385155650754
MSE: 0.1837933818646018, PSNR: 56.77883945367236
MSE: 0.1509630017856173, PSNR: 37.08887295479789
MSE: 0.11921500213035913, PSNR: 41.445863803370415
MSE: 0.11879357519608945, PSNR: 53.682190478990904
MSE: 0.10831129262313116, PSNR: 41.602942934696394
MSE: 0.13393570118509066, PSNR: 38.98491343882784
MSE: 0.12415662101282492, PSNR: 45.10095854842937
MSE: 0.10293701119886378, PSNR: 39.68191135126434
MSE: 0.06157862486228745, PSNR: 40.9789825774947
MSE: 0.08415504522225713, PSNR: 46.015077517102355
MSE: 0.07036376141639573, PSNR: 43.551872513537305
MSE: 0.07973234454711857, PSNR: 49.63153875461552
MSE: 0.12318018415819697, PSNR: 45.61694474486181
MSE: 0.08624143838598199, PSNR: 49.96018387222356
MSE: 0.16126718987717845, PSNR: 52.861935135301
MSE: 0.09845628256851317, PSNR: 39.48093109783913
MSE: 0.1042118208355898, PSNR: 42.80180885029103
MSE: 0.11104798477311119, PSNR: 45.647938826130584
MSE: 0.12499064990275742, PSNR: 52.13469260123105
MSE: 0.10616084124958182, PSNR: 46.24098023689727
MSE: 0.08841393614262177, PSNR: 43.50800562940168
MSE: 0.07439276269961431, PSNR: 44.469820695693805
MSE: 0.08869653900937585, PSNR: 42.07338321284637
MSE: 0.05711613351863244, PSNR: 42.63925863072614
MSE: 0.05292136620359393, PSNR: 41.25042379523905
MSE: 0.10419094166295374, PSNR: 46.21997960992025
MSE: 0.09637696342153232, PSNR: 45.29711636880905
MSE: 0.14152168709333787, PSNR: 56.804613467521975
MSE: 0.1394001756976137, PSNR: 54.444952426295586
MSE: 0.23110076248210165, PSNR: 47.61894487741618
MSE: 0.13860202680356434, PSNR: 40.919298401614355
MSE: 0.16065226654596046, PSNR: 48.27210480375857
MSE: 0.17450311726120202, PSNR: 48.18267614784205
MSE: 0.2150114264207481, PSNR: 46.75179982194675
MSE: 0.08103483063118706, PSNR: 43.02500943005211
MSE: 0.11120712114754305, PSNR: 41.60215730358818
MSE: 0.08723845905467237, PSNR: 35.99106038036412
MSE: 0.1328318725438522, PSNR: 53.91659482488993
MSE: 0.11737369793258999, PSNR: 40.91097784216528
MSE: 0.1992007126379448, PSNR: 37.58096256870132
MSE: 0.13257458151930282, PSNR: 49.77989611560031
MSE: 0.08233324134715919, PSNR: 44.442908952556614
MSE: 0.10015451079838082, PSNR: 51.75404756096313
MSE: 0.11209563603803198, PSNR: 40.91116758339585
MSE: 0.11989520424081306, PSNR: 43.15129463336188
